
2024/05/24 (11:23:15) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/24 (15:03:01) | ===> btop++ v.1.3.2
2024/05/24 (15:03:01) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/24 (22:39:47) | ===> btop++ v.1.3.2
2024/05/24 (22:39:47) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/24 (23:22:28) | ===> btop++ v.1.3.2
2024/05/24 (23:22:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/25 (00:05:22) | ===> btop++ v.1.3.2
2024/05/25 (00:05:22) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/25 (18:37:10) | ===> btop++ v.1.3.2
2024/05/25 (18:37:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/25 (20:08:54) | ===> btop++ v.1.3.2
2024/05/25 (20:08:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/25 (20:09:47) | ===> btop++ v.1.3.2
2024/05/25 (20:09:47) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/26 (11:50:28) | ===> btop++ v.1.3.2
2024/05/26 (11:50:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/27 (09:18:51) | ===> btop++ v.1.3.2
2024/05/27 (09:18:51) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/27 (13:28:30) | ===> btop++ v.1.3.2
2024/05/27 (13:28:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/27 (14:15:45) | ===> btop++ v.1.3.2
2024/05/27 (14:15:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/27 (14:16:06) | ===> btop++ v.1.3.2
2024/05/27 (14:16:06) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/27 (14:16:22) | ===> btop++ v.1.3.2
2024/05/27 (14:16:22) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/27 (15:50:18) | ===> btop++ v.1.3.2
2024/05/27 (15:50:18) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

